name,subs_million,categories,ha-link
MrBeast,148.1,Video games,https://www.youtube.com/channel/UCX6OQ3DkcsbYNE6H8uQQuVA
PewDiePie,111.6,Animation,https://www.youtube.com/channel/UC-lHJZR3Gqxm24_Vd_AJ5Yw
Dude Perfect,59.3,Video games,https://www.youtube.com/channel/UCRijo3ddMTht_IHyNSNXpNQ
BRIGHT SIDE,44.6,Animation,https://www.youtube.com/channel/UC4rlAVgAK0SGk-yTfe48Qpw
TheEllenShow,38.3,null,https://www.youtube.com/channel/UCp0hYYBW6IMayGgR-WeoCvQ
Markiplier,34.8,Animation,https://www.youtube.com/channel/UC7_YxT-KID8kRbqZo7MyscQ
SSSniperWolf,33.5,Humor,https://www.youtube.com/channel/UCpB959t8iPrxQWj7G6n0ctQ
MrBeast Gaming,32.1,Animation,https://www.youtube.com/channel/UCIPPMRA040LQr5QPyJEbmXA
Dream,31.6,Video games,https://www.youtube.com/channel/UCTkXRDQl0luXxVQrRQvWS6w
The Tonight Show Starring Jimmy Fallon,31.1,Movies,https://www.youtube.com/channel/UC8-Th83bH_thdKZDJCrn88g
Lucas and Marcus,30.3,Animation,https://www.youtube.com/channel/UCwD4x63A9KC7Si2RuSfg-SA
jacksepticeye,29.4,Video games,https://www.youtube.com/channel/UCYzPXprvl5Y-Sf0g4vX-m6g
The Late Late Show with James Corden,28.2,Animation,https://www.youtube.com/channel/UCJ0uqCI0Vqr2Rrt1HseGirg
DanTDM,26.8,Video games,https://www.youtube.com/channel/UCS5Oz6CHmeoF7vSad0qqXfw
Brent Rivera,26.1,Video games,https://www.youtube.com/channel/UC56D-IHcUvLVFTX_8NpQMXg
VanossGaming,25.9,Animation,https://www.youtube.com/channel/UCKqH_9mk1waLgBiL2vT5b9g
WatchMojo.com,25.1,Movies,https://www.youtube.com/channel/UCaWd5_7JhbQBe4dknZhsHJg
Smosh,25.1,Movies,https://www.youtube.com/channel/UCY30JRSgfhYXA6i6xX1erWg
Chloe Ting,24.5,Fitness,https://www.youtube.com/channel/UCCgLoMYIyP0U56dEhEL1wXQ
Collins Key,24,DIY & Life Hacks,https://www.youtube.com/channel/UC7TTtOQKMXTWWMtWQMIgVSA
James Charles,23.9,Beauty,https://www.youtube.com/channel/UCucot-Zp428OwkyRm2I7v2Q
Mark Rober,23.8,Science & Technology,https://www.youtube.com/channel/UCY1kMZp36IQSyNx_9h4mpCg
Ninja,23.7,Animation,https://www.youtube.com/channel/UCAW-NpUFkMyCNrvRSSGIvDQ
Beast Reacts,23.7,null,https://www.youtube.com/channel/UCUaT_39o1x6qWjz7K2pWcgw
NichLmao,23.7,Daily vlogs,https://www.youtube.com/channel/UC6VAIqNQBc7ggiqvsOHOBqw
Preston,23.5,Animation,https://www.youtube.com/channel/UC70Dib4MvFfT1tU6MqeyHpQ
FaZe Rug,23.3,Video games,https://www.youtube.com/channel/UCilwZiBBfI9X6yiZRzWty8Q
MrBeast 2,22.8,Daily vlogs,https://www.youtube.com/channel/UC4-79UOlP48-QNGgCko5p2g
Tasty,21.1,Food & Drinks,https://www.youtube.com/channel/UCJFp8uSYCjXOMnkUyb3CQ3Q
Infinite,20.8,Video games,https://www.youtube.com/channel/UC_hSjGOO67A6gIDUcyuv_8A
Brave Wilderness,20.7,null,https://www.youtube.com/channel/UC6E2mP01ZLH_kbAyeazCNdg
The Royalty Family,20.7,Humor,https://www.youtube.com/channel/UCja7QUMRG9AD8X2F_vXFb9A
Ben Azelart,20.4,Video games,https://www.youtube.com/channel/UCwVg9btOceLQuNCdoQk9CXg
Kurzgesagt – In a Nutshell,20.4,Education,https://www.youtube.com/channel/UCsXVk37bltHxD1rDPwtNM8Q
Jake Paul,20.3,Fitness,https://www.youtube.com/channel/UCcgVECVN4OKV6DH1jLkqmcA
BuzzFeedVideo,20.3,Food & Drinks,https://www.youtube.com/channel/UCpko_-a4wgz2u_DgDgd9fqA
Ninja Kidz TV,20.3,Video games,https://www.youtube.com/channel/UCpZ88DWlKW0H_AYDaUZptcw
REACT,20.1,Humor,https://www.youtube.com/channel/UC0v-tlzsn0QZwJnkiaUSJVQ
Stokes Twins,20,Video games,https://www.youtube.com/channel/UCbp9MyKCTEww4CxEzc_Tp0Q
Gordon Ramsay,19.9,Food & Drinks,https://www.youtube.com/channel/UCIEv3lZ_tNXHzL3ox-_uUGQ
CookieSwirlC,19.6,Video games,https://www.youtube.com/channel/UCelMeixAOTs2OQAAi9wU8-g
Jimmy Kimmel Live,19.1,Movies,https://www.youtube.com/channel/UCa6vGFO9ty8v5KZJXQxdhaw
TheOdd1sOut,19,Movies,https://www.youtube.com/channel/UCo8bcnLyZH8tBIH9V1mLgqQ
Vsauce,18.7,Science & Technology,https://www.youtube.com/channel/UC6nSFpj9HTCZ5t-N3Rm3-HA
Ali-A,18.6,Video games,https://www.youtube.com/channel/UCYVinkwSX7szARULgYpvhLw
